user_id|user_name|recommended_link
0|Alice|119592
1|Alice|207122
2|Alice|288431
3|Alice|168868
4|Alice|159359
5|Alice|202436
6|Alice|338351
7|Alice|270225
8|Alice|4658
9|Alice|286413
10|Alice|206233
11|Alice|157132
12|Alice|256163
13|Alice|237620
14|Alice|30970
15|Alice|119592
16|Alice|207122
17|Alice|288431
18|Alice|168868
19|Alice|159359
20|Alice|202436
21|Alice|338351
22|Alice|270225
23|Alice|4658
24|Alice|286413
25|Alice|206233
26|Alice|157132
27|Alice|256163
28|Alice|237620
29|Alice|30970
30|Miguel|96663
31|Miguel|235840
32|Miguel|288431
33|Miguel|284847
34|Miguel|145166
35|Miguel|270225
36|Miguel|168868
37|Miguel|202436
38|Miguel|114161
39|Miguel|332114
40|Miguel|286413
41|Miguel|206233
42|Miguel|256163
43|Miguel|157132
44|Miguel|237620
45|Miguel|96663
46|Miguel|235840
47|Miguel|288431
48|Miguel|284847
49|Miguel|145166
50|Miguel|270225
51|Miguel|168868
52|Miguel|202436
53|Miguel|114161
54|Miguel|332114
55|Miguel|286413
56|Miguel|206233
57|Miguel|256163
58|Miguel|157132
59|Miguel|237620
60|Sophia|119592
61|Sophia|108854
62|Sophia|168868
63|Sophia|159359
64|Sophia|4658
65|Sophia|30970
66|Sophia|207122
67|Sophia|270225
68|Sophia|284847
69|Sophia|288431
70|Sophia|283908
71|Sophia|61599
72|Sophia|97600
73|Sophia|272947
74|Sophia|2137
75|Sophia|119592
76|Sophia|108854
77|Sophia|168868
78|Sophia|159359
79|Sophia|4658
80|Sophia|30970
81|Sophia|207122
82|Sophia|270225
83|Sophia|284847
84|Sophia|288431
85|Sophia|283908
86|Sophia|61599
87|Sophia|97600
88|Sophia|272947
89|Sophia|2137
90|Arthur|119592
91|Arthur|159359
92|Arthur|207122
93|Arthur|108854
94|Arthur|288431
95|Arthur|168868
96|Arthur|202436
97|Arthur|4658
98|Arthur|30970
99|Arthur|2137
100|Arthur|272947
101|Arthur|338351
102|Arthur|286413
103|Arthur|198420
104|Arthur|198322
105|Arthur|119592
106|Arthur|159359
107|Arthur|207122
108|Arthur|108854
109|Arthur|288431
110|Arthur|168868
111|Arthur|202436
112|Arthur|4658
113|Arthur|30970
114|Arthur|2137
115|Arthur|272947
116|Arthur|338351
117|Arthur|286413
118|Arthur|198420
119|Arthur|198322
120|Helena|284847
121|Helena|96663
122|Helena|235840
123|Helena|114161
124|Helena|332114
125|Helena|145166
126|Helena|162286
127|Helena|206233
128|Helena|237620
129|Helena|256163
130|Helena|157132
131|Helena|338351
132|Helena|287174
133|Helena|161498
134|Helena|69341
135|Helena|284847
136|Helena|96663
137|Helena|235840
138|Helena|114161
139|Helena|332114
140|Helena|145166
141|Helena|162286
142|Helena|206233
143|Helena|237620
144|Helena|256163
145|Helena|157132
146|Helena|338351
147|Helena|287174
148|Helena|161498
149|Helena|69341
150|Bernardo|168868
151|Bernardo|207122
152|Bernardo|119592
153|Bernardo|338351
154|Bernardo|286421
155|Bernardo|286420
156|Bernardo|286417
157|Bernardo|286414
158|Bernardo|286410
159|Bernardo|96663
160|Bernardo|162286
161|Bernardo|157132
162|Bernardo|237620
163|Bernardo|256163
164|Bernardo|206233
165|Bernardo|168868
166|Bernardo|207122
167|Bernardo|119592
168|Bernardo|338351
169|Bernardo|286421
170|Bernardo|286420
171|Bernardo|286417
172|Bernardo|286414
173|Bernardo|286410
174|Bernardo|96663
175|Bernardo|162286
176|Bernardo|157132
177|Bernardo|237620
178|Bernardo|256163
179|Bernardo|206233
180|Bernardo|168868
181|Bernardo|207122
182|Bernardo|119592
183|Bernardo|338351
184|Bernardo|286421
185|Bernardo|286420
186|Bernardo|286417
187|Bernardo|286414
188|Bernardo|286410
189|Bernardo|96663
190|Bernardo|162286
191|Bernardo|157132
192|Bernardo|237620
193|Bernardo|256163
194|Bernardo|206233
195|Valentina|288431
196|Valentina|202436
197|Valentina|159359
198|Valentina|235840
199|Valentina|198322
200|Valentina|198420
201|Valentina|2137
202|Valentina|272947
203|Valentina|162286
204|Valentina|96663
205|Valentina|119592
206|Valentina|286410
207|Valentina|286414
208|Valentina|286417
209|Valentina|286420
210|Valentina|288431
211|Valentina|202436
212|Valentina|159359
213|Valentina|235840
214|Valentina|198322
215|Valentina|198420
216|Valentina|2137
217|Valentina|272947
218|Valentina|162286
219|Valentina|96663
220|Valentina|119592
221|Valentina|286410
222|Valentina|286414
223|Valentina|286417
224|Valentina|286420
225|Heitor|284847
226|Heitor|235840
227|Heitor|332114
228|Heitor|114161
229|Heitor|96663
230|Heitor|288431
231|Heitor|162286
232|Heitor|161498
233|Heitor|287174
234|Heitor|69341
235|Heitor|286410
236|Heitor|286414
237|Heitor|286417
238|Heitor|286420
239|Heitor|286421
240|Heitor|284847
241|Heitor|235840
242|Heitor|332114
243|Heitor|114161
244|Heitor|96663
245|Heitor|288431
246|Heitor|162286
247|Heitor|161498
248|Heitor|287174
249|Heitor|69341
250|Heitor|286410
251|Heitor|286414
252|Heitor|286417
253|Heitor|286420
254|Heitor|286421
255|Laura|284847
256|Laura|332114
257|Laura|114161
258|Laura|235840
259|Laura|108854
260|Laura|119592
261|Laura|162286
262|Laura|161498
263|Laura|287174
264|Laura|69341
265|Laura|286417
266|Laura|286420
267|Laura|286421
268|Laura|286410
269|Laura|286414
270|Laura|284847
271|Laura|332114
272|Laura|114161
273|Laura|235840
274|Laura|108854
275|Laura|119592
276|Laura|162286
277|Laura|161498
278|Laura|287174
279|Laura|69341
280|Laura|286417
281|Laura|286420
282|Laura|286421
283|Laura|286410
284|Laura|286414
285|Laura|284847
286|Laura|332114
287|Laura|114161
288|Laura|235840
289|Laura|108854
290|Laura|119592
291|Laura|162286
292|Laura|161498
293|Laura|287174
294|Laura|69341
295|Laura|286417
296|Laura|286420
297|Laura|286421
298|Laura|286410
299|Laura|286414
300|Davi|96663
301|Davi|284847
302|Davi|235840
303|Davi|145166
304|Davi|332114
305|Davi|114161
306|Davi|270225
307|Davi|286420
308|Davi|286417
309|Davi|286421
310|Davi|286414
311|Davi|286410
312|Davi|162286
313|Davi|69341
314|Davi|287174
315|Davi|96663
316|Davi|284847
317|Davi|235840
318|Davi|145166
319|Davi|332114
320|Davi|114161
321|Davi|270225
322|Davi|286420
323|Davi|286417
324|Davi|286421
325|Davi|286414
326|Davi|286410
327|Davi|162286
328|Davi|69341
329|Davi|287174
330|Isabella|288431
331|Isabella|202436
332|Isabella|159359
333|Isabella|235840
334|Isabella|198322
335|Isabella|198420
336|Isabella|2137
337|Isabella|272947
338|Isabella|286410
339|Isabella|286414
340|Isabella|286417
341|Isabella|286420
342|Isabella|286421
343|Isabella|162286
344|Isabella|69341
345|Isabella|288431
346|Isabella|202436
347|Isabella|159359
348|Isabella|235840
349|Isabella|198322
350|Isabella|198420
351|Isabella|2137
352|Isabella|272947
353|Isabella|286410
354|Isabella|286414
355|Isabella|286417
356|Isabella|286420
357|Isabella|286421
358|Isabella|162286
359|Isabella|69341
360|Isabella|288431
361|Isabella|202436
362|Isabella|159359
363|Isabella|235840
364|Isabella|198322
365|Isabella|198420
366|Isabella|2137
